Año de Oferta Pública,Nombre de la Convocatoría,Tipo de Accesso,Cuerpo/Especialidad ó Categoría Profesional,Número de Plazas,Fin de plazo,Publicación de la convocatoria,Url BOJA,¿Ha habido modificaciones en la convocatoría?,Estado,Url de accesso,Fecha de extracción
2019,A1.1100 Administradoras/Administradores Generales (Estabilización),Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,98,21/11/2019,BOJA nº 205 de 23/10/2019,https://www.juntadeandalucia.es/institutodeadministracionpublica/servlet/descarga?up=134883,Yes,Convocatoria 3º ejercicio,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=221883,2021-11-02
2019,A1.1200 Administradoras/Administradores de Gestión Financiera (Estabilización),Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,12,21/11/2019,BOJA nº 205 de 23/10/2019,https://juntadeandalucia.es/boja/2019/205/BOJA19-205-00052-15516-01_00163731.pdf,Yes,Convocatoria 3º ejercicio,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=221885,2021-11-02
2018,A1.1100 Administradoras/Administradores Generales (Promoción Interna),Personal Funcionario - Promoción interna,A1.1 Cuerpo Superior de Administradoras y Administradores,280,NaN,BOJA nº 84 de 6 de Mayo de 2019,https://www.juntadeandalucia.es/institutodeadministracionpublica/servlet/descarga?up=130987,No,Oferta de plazas vacantes,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=214575,2021-11-02
2018,A1.1200 Administradoras/Administradores de Gestión Financiera (Promoción Interna),Personal Funcionario - Promoción interna,A1.1 Cuerpo Superior de Administradoras y Administradores,104,NaN,BOJA nº 84 de 6 de Mayo de 2019,https://juntadeandalucia.es/boja/2019/84/BOJA19-084-00046-6309-01_00154668.pdf,No,Proceso finalizado,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=214577,2021-11-02
2018,A1.1100 Administradoras/Administradores Generales,Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,105,21/11/2019,BOJA nº 205 de 23/10/2019,https://www.juntadeandalucia.es/institutodeadministracionpublica/servlet/descarga?up=134871,Yes,Convocatoria lectura del 3º ejercicio,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=214407,2021-11-02
2018,A1.1200 Administradoras/Administradores de Gestión Financiera,Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,85,21/11/2019,BOJA nº 205 de 23/10/2019,https://www.juntadeandalucia.es/institutodeadministracionpublica/servlet/descarga?up=134897,Yes,Convocatoria lectura del 3º ejercicio,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=214409,2021-11-02
2017,A1.1100 Administradoras/Administradores Generales (Promoción Interna),Personal Funcionario - Promoción interna,A1.1 Cuerpo Superior de Administradoras y Administradores,NaN,NaN,NaN,NaN,No,Proceso selectivo unificado con OEP 2018,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=204323,2021-11-02
2017,A1.1200 Administradoras/Administradores de Gestión Financiera (Promoción Interna),Personal Funcionario - Promoción interna,A1.1 Cuerpo Superior de Administradoras y Administradores,NaN,NaN,NaN,NaN,No,Proceso selectivo unificado con OEP 2018,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=204325,2021-11-02
2017,A1.1100 Administradoras/Administradores Generales,Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,40,NaN,NaN,NaN,No,Proceso selectivo unificado,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=204239,2021-11-02
2017,A1.1100 Administradoras/Administradores Generales (Estabilización),Personal Funcionario - Acceso libre,A1.1 Cuerpo Superior de Administradoras y Administradores,46,NaN,NaN,NaN,No,Proceso selectivo unificado,https://www.juntadeandalucia.es/institutodeadministracionpublica/publico/seleccionjunta.filter?step=read&cp=1&id=1&chm=-1&ca=-1&cu=15&v=1&cdp=-1&ch=50&cd=221875,2021-11-02
